isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,content
9781853260216,1853260215,The History of Tom Jones,A Foundling,Henry Fielding,Fiction,http://books.google.com/books/content?id=xViaKR7HSG8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Introduction and Notes by Doreen Roberts, Rutherford College, University of Kent at Canterbury. 'Tom Jones' is widely regarded as one of the first and most influential English novels. It is certainly the funniest. Tom Jones, the hero of the book, is introduced to the reader as the ward of a liberal Somerset squire. Tom is a generous but slightly wild and feckless country boy with a weakness for young women. Misfortune, followed by many spirited adventures as he travels to London to seek his fortune, teach him a sort of wisdom to go with his essential good-heartedness. This 'comic, epic poem in prose' will make the modern reader laugh as much as it did his forbears. Its biting satire finds an echo in today's society, for as Doris Lessing recently remarked ""This country becomes every day more like the eighteenth century, full of thieves and adventurers, rogues and a robust, unhypocritical savagery side-by-side with people lecturing others on morality"". AUTHOR: Henry Fielding (1707-1754) was an English novelist; building on the foundations put in place by Daniel Defoe and others, he was a major contributor to the form of the modern novel. He wrote four novels, of which the most enduring is 'The History of Tom Jones, a Foundling', widely regarded as among the finest books ever written.",1992,3.74,734,555,"the history of tom jones henry fielding fiction introduction and notes by doreen roberts, rutherford college, university of kent at canterbury. 'tom jones' is widely regarded as one of the first and most influential english novels. it is certainly the funniest. tom jones, the hero of the book, is introduced to the reader as the ward of a liberal somerset squire. tom is a generous but slightly wild and feckless country boy with a weakness for young women. misfortune, followed by many spirited adventures as he travels to london to seek his fortune, teach him a sort of wisdom to go with his essential good-heartedness. this 'comic, epic poem in prose' will make the modern reader laugh as much as it did his forbears. its biting satire finds an echo in today's society, for as doris lessing recently remarked ""this country becomes every day more like the eighteenth century, full of thieves and adventurers, rogues and a robust, unhypocritical savagery side-by-side with people lecturing others on morality"". author: henry fielding (1707-1754) was an english novelist; building on the foundations put in place by daniel defoe and others, he was a major contributor to the form of the modern novel. he wrote four novels, of which the most enduring is 'the history of tom jones, a foundling', widely regarded as among the finest books ever written."
9780802138880,0802138888,The Eternal Frontier,An Ecological History of North America and Its Peoples,Tim Flannery,History,http://books.google.com/books/content?id=R9HMO7b74IkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A paleontologist offers an ecological tour of North America, from the asteroid strike that killed the dinosaurs sixty-five million years ago to the present.",2002,4.05,432,554,"the eternal frontier tim flannery history a paleontologist offers an ecological tour of north america, from the asteroid strike that killed the dinosaurs sixty-five million years ago to the present."
9780843944396,0843944390,The Halloween Man,,Douglas Clegg,Fiction,http://books.google.com/books/content?id=oYs2iDmnTUoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Halloween Man walks when the screaming begins, and only Stony Crawford holds the key to the power of the chilling mystery of Stonehaven, and to the power of the unspeakable creature trapped within a summer mansion.",1998,3.36,360,554,"the halloween man douglas clegg fiction the halloween man walks when the screaming begins, and only stony crawford holds the key to the power of the chilling mystery of stonehaven, and to the power of the unspeakable creature trapped within a summer mansion."
9780811214001,0811214001,Everything and Nothing,,Jorge Luis Borges,Literary Collections,http://books.google.com/books/content?id=8EMSAEfXzk0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""Some of the most witty, uncannily original short fiction in Western Literature."" The New Yorker""",1999,4.37,108,554,"everything and nothing jorge luis borges literary collections ""some of the most witty, uncannily original short fiction in western literature."" the new yorker"""
9781596321281,1596321288,Hard Candy,,"Angela Knight, Sheri Gilmore, Morgan Hawke",Fiction,http://books.google.com/books/content?id=vMVlAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"If one man is good, then two are so much better. An erotic romance anthology for those who like it hot, hard and oh so wickedly delicious, with stories by USA Today bestselling author Angela Knight, and erotic romance rising stars Morgan Hawke and Sheri Gilmore. PUBLISHER'S NOTE: This anthology is also available in e-book format, and contains material some readers may find offensive.",2005,4.0,350,554,"hard candy angela knight, sheri gilmore, morgan hawke fiction if one man is good, then two are so much better. an erotic romance anthology for those who like it hot, hard and oh so wickedly delicious, with stories by usa today bestselling author angela knight, and erotic romance rising stars morgan hawke and sheri gilmore. publisher's note: this anthology is also available in e-book format, and contains material some readers may find offensive."
9780881842678,0881842672,The Secret of Santa Vittoria,,Robert Crichton,Fiction,,The clownish Bombolini becomes a man of significance when he devises a plan to prevent the Germans from taking Santa Vittoria's liquor supply,1986,4.13,416,553,the secret of santa vittoria robert crichton fiction the clownish bombolini becomes a man of significance when he devises a plan to prevent the germans from taking santa vittoria's liquor supply
9780330481915,0330481916,Blackout,,John J. Nance,Bombings,,"When a passenger craft goes down near Cuba, is it an accident, a terrorist incident, or an attack by Castro's regime? Robert McCabe, Washington journalist, has received an enigmatic message from a just-murdered friend, which suggests a lethal conspiracy is in motion.",2000,3.93,672,552,"blackout john j. nance bombings when a passenger craft goes down near cuba, is it an accident, a terrorist incident, or an attack by castro's regime? robert mccabe, washington journalist, has received an enigmatic message from a just-murdered friend, which suggests a lethal conspiracy is in motion."
9780099285557,009928555X,Set this House on Fire,,William Styron,Americans,http://books.google.com/books/content?id=TDaEPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The day after Peter Leverett met his old friend Mason Flagg in Italy, Mason was found dead. The hours leading up to his death were a nightmare for Peter - both in their violence and in their maddening unreality.The blaze of events which followed was, Peter soon realised, ignited by a conflict between two men- Mason Flagg himself and Cass Kinsolving, a tortured, self-destructive painter, a natural enemy and prey to the monstrous evil of Mason Flagg.Three events - murder, rape and suicide - explode in this relentless and passionate novel, almost overwhelming in its conception of the varieties of good and evil.",2001,3.7,567,551,"set this house on fire william styron americans the day after peter leverett met his old friend mason flagg in italy, mason was found dead. the hours leading up to his death were a nightmare for peter - both in their violence and in their maddening unreality.the blaze of events which followed was, peter soon realised, ignited by a conflict between two men- mason flagg himself and cass kinsolving, a tortured, self-destructive painter, a natural enemy and prey to the monstrous evil of mason flagg.three events - murder, rape and suicide - explode in this relentless and passionate novel, almost overwhelming in its conception of the varieties of good and evil."
9780756616342,0756616344,Animal,,"David Burnie, Don E. Wilson",Zoology,http://books.google.com/books/content?id=g8Z5PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Offers photographs and information about mammals, birds, reptiles, amphibians, fishes, and invertebrates from throughout the world.",2005,4.52,624,551,"animal david burnie, don e. wilson zoology offers photographs and information about mammals, birds, reptiles, amphibians, fishes, and invertebrates from throughout the world."
9780060920647,0060920645,Three by Annie Dillard,"The Writing Life, An American Childhood, Pilgrim at Tinker Creek",Annie Dillard,Fiction,http://books.google.com/books/content?id=dRo8SwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A stunning collection of Annie Dillard's most popular books in one volume.,1990,4.34,617,550,three by annie dillard annie dillard fiction a stunning collection of annie dillard's most popular books in one volume.
9780373895205,0373895208,Seven Sunny Days,A Novel,Chris Manby,Fiction,http://books.google.com/books/content?id=b5C8c0Gv4U8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Determined to have one last adventure before getting married, Rachel Buckley and her two best friends, Carrie Ann and Yaslyn, journey to Turkey where, while staying in an all-inclusive luxury hotel, they find their friendship sorely tested by anger, insecurities, and dark secrets. Original.",2005,3.32,352,549,"seven sunny days chris manby fiction determined to have one last adventure before getting married, rachel buckley and her two best friends, carrie ann and yaslyn, journey to turkey where, while staying in an all-inclusive luxury hotel, they find their friendship sorely tested by anger, insecurities, and dark secrets. original."
9780571197514,0571197515,Tom Stoppard: Plays 5,"Aracadia, The Real Thing, Night & Day, Indian Ink, Hapgood",Tom Stoppard,Drama,http://books.google.com/books/content?id=sR0YSeUweGwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Plays Five: Arcadia The Real Thing Night & Day Indian Ink Hapgood This fifth collection of Tom Stoppard's plays brings together five classic plays by one of the most celebrated dramatists writing in the English language. Arcadia received the Evening Standard, the Oliver, and the Critics Awards and The Real Thing won a Tony Award.",1999,4.3,608,548,"tom stoppard: plays 5 tom stoppard drama plays five: arcadia the real thing night & day indian ink hapgood this fifth collection of tom stoppard's plays brings together five classic plays by one of the most celebrated dramatists writing in the english language. arcadia received the evening standard, the oliver, and the critics awards and the real thing won a tony award."
9780553575958,0553575953,Floaters,,Joseph Wambaugh,Fiction,http://books.google.com/books/content?id=Hu_yoIvxkDMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With the arrival of the America's Cup regattas, San Diego Mission Bay cops Fortney and Leeds find their hands full and pursue cup contender Blaze, who sets off a bizarre criminal trail. Reprint.",1997,3.5,291,548,"floaters joseph wambaugh fiction with the arrival of the america's cup regattas, san diego mission bay cops fortney and leeds find their hands full and pursue cup contender blaze, who sets off a bizarre criminal trail. reprint."
9780822216315,0822216310,"The Santaland Diaries ; And, Season's Greetings",,David Sedaris,Performing Arts,http://books.google.com/books/content?id=ggifn6UPKj0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"THE STORIES: THE SANTALAND DIARIES is a brilliant evocation of what a slacker's Christmas must feel like. Out of work, our slacker decides to become a Macy's elf during the holiday crunch. At first the job is simply humiliating, but once the thousa",1998,4.18,54,547,"the santaland diaries ; and, season's greetings david sedaris performing arts the stories: the santaland diaries is a brilliant evocation of what a slacker's christmas must feel like. out of work, our slacker decides to become a macy's elf during the holiday crunch. at first the job is simply humiliating, but once the thousa"
9780553817072,0553817078,The Apprentice,,Tess Gerritsen,Boston (Mass.),http://books.google.com/books/content?id=Z5lY0mP_cdkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Surgeon has been locked up for a year but his chilling legacy still haunts the city, and especially Boston homicide detective Jane Rizzoli. But now a new killer is at work and Rizzoli senses something horrifyingly familiar about this murderer's modus operandi. It's when the FBI starts taking an interest in the investigation that Rizzoli begins to wonder just what makes this case so different, so dangerous that the Feds feel the need to get involved. But then the unthinkable happens: the Surgeon escapes. And suddenly there are two brilliant, twisted killers on the loose - master and apprentice, united in their hunt for the most challenging prey of all: the very woman who is hunting them.",2005,4.14,411,547,"the apprentice tess gerritsen boston (mass.) the surgeon has been locked up for a year but his chilling legacy still haunts the city, and especially boston homicide detective jane rizzoli. but now a new killer is at work and rizzoli senses something horrifyingly familiar about this murderer's modus operandi. it's when the fbi starts taking an interest in the investigation that rizzoli begins to wonder just what makes this case so different, so dangerous that the feds feel the need to get involved. but then the unthinkable happens: the surgeon escapes. and suddenly there are two brilliant, twisted killers on the loose - master and apprentice, united in their hunt for the most challenging prey of all: the very woman who is hunting them."
9780440419679,0440419670,Tucket's Travels,"Francis Tucket's Adventures in the West, 1847-1849",Gary Paulsen,Juvenile Fiction,http://books.google.com/books/content?id=M6Ru21OibroC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Francis Tucket, traveling the Oregon trail on a wagon, has many adventures after being kidnapped by Pawnee Indians, including meeting a one-armed man, rescuing abandoned children, and enduring bandits and fierce storms on his trek home.",2003,4.43,560,538,"tucket's travels gary paulsen juvenile fiction francis tucket, traveling the oregon trail on a wagon, has many adventures after being kidnapped by pawnee indians, including meeting a one-armed man, rescuing abandoned children, and enduring bandits and fierce storms on his trek home."
